idx,image_path,question,spearman,jaccard_top10pct
0,/opt/dlami/nvme/data/raw/gqa/images/n161313.jpg,Is it overcast?,-0.2605786482221425,0.017543859649122806
1,/opt/dlami/nvme/data/raw/gqa/images/n235859.jpg,Who is wearing the dress?,-0.25072719779985697,0.017543859649122806
2,/opt/dlami/nvme/data/raw/gqa/images/n336443.jpg,Does the utensil on top of the table look clean and black?,-0.02351713956266383,0.11538461538461539
3,/opt/dlami/nvme/data/raw/gqa/images/n179136.jpg,Is the surfer that looks wet wearing a wetsuit?,-0.0074110880894952364,0.07407407407407407
4,/opt/dlami/nvme/data/raw/gqa/images/n518912.jpg,How tall is the chair in the bottom of the photo?,0.0195867671289626,0.03571428571428571
5,/opt/dlami/nvme/data/raw/gqa/images/n435808.jpg,What kind of device is on top of the desk?,-0.15503920500609153,0.008695652173913044
6,/opt/dlami/nvme/data/raw/gqa/images/n414992.jpg,What is the airplane flying above?,-0.44486349707870704,0.008695652173913044
7,/opt/dlami/nvme/data/raw/gqa/images/n446242.jpg,What color are the pants?,0.08043871420661378,0.05454545454545454
8,/opt/dlami/nvme/data/raw/gqa/images/n168412.jpg,Is the ground blue or brown?,0.026119355539956257,0.07407407407407407
9,/opt/dlami/nvme/data/raw/gqa/images/n23181.jpg,What is around the open window?,0.028407755423620406,0.03571428571428571
10,/opt/dlami/nvme/data/raw/gqa/images/n23181.jpg,What's around the window?,0.05351129730678001,0.07407407407407407
11,/opt/dlami/nvme/data/raw/gqa/images/n52544.jpg,Who is standing at the table?,-0.1989198194982278,0.008695652173913044
12,/opt/dlami/nvme/data/raw/gqa/images/n23181.jpg,Are there drapes to the right of the bed?,0.012701740272663721,0.03571428571428571
13,/opt/dlami/nvme/data/raw/gqa/images/n578564.jpg,What is hanging above the chalkboard?,-0.3103895477666917,0.017543859649122806
14,/opt/dlami/nvme/data/raw/gqa/images/n437064.jpg,Is the cake on a platter?,-0.03478978721951637,0.02654867256637168
15,/opt/dlami/nvme/data/raw/gqa/images/n4777.jpg,Is the person to the right of the cup wearing jeans?,0.05506448722196264,0.05454545454545454
16,/opt/dlami/nvme/data/raw/gqa/images/n435808.jpg,What device is sitting next to the mouse pad?,-0.2122677920057271,0.02654867256637168
17,/opt/dlami/nvme/data/raw/gqa/images/n554880.jpg,Does the sweater look open and blue?,0.08401915358654247,0.06422018348623854
18,/opt/dlami/nvme/data/raw/gqa/images/n151768.jpg,Is the jacket long sleeved and black?,-0.008697685628638928,0.04504504504504504
19,/opt/dlami/nvme/data/raw/gqa/images/n49438.jpg,Are there beds next to the small outlet?,0.047465722842465474,0.06422018348623854
